Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6920544022906228,0.767484972957161,0.767484972957161,0.7664873146113212,0.14831161499023438
BernoulliNB,0.8738010021474588,0.6999944845022195,0.6999944845022193,0.8891229107393496,0.16637086868286133
GaussianNB,0.8846098783106657,0.6957096033573558,0.6957096033573557,0.8958874202634388,0.15412116050720215
QuadraticDiscriminantAnalysis,0.9021474588403722,0.6569156045876651,0.6569156045876651,0.9043395649709183,0.27379536628723145
Perceptron,0.9103793843951324,0.648485803815434,0.648485803815434,0.9089259100020038,0.2504587173461914
DecisionTreeClassifier,0.8935576234788833,0.6463153248489921,0.6463153248489921,0.8979051271128585,0.6810836791992188
BaggingClassifier,0.9357193987115247,0.6304351466569323,0.6304351466569323,0.9239688445458138,3.99312686920166
PassiveAggressiveClassifier,0.9177523264137437,0.6267287782388877,0.6267287782388877,0.9114495792433931,0.18323397636413574
LGBMClassifier,0.9410880458124553,0.6245978602941312,0.6245978602941312,0.9269838213608145,0.7507290840148926
XGBClassifier,0.9393700787401574,0.6195373526716825,0.6195373526716825,0.9250519021607423,0.5648653507232666
LinearDiscriminantAnalysis,0.937294201861131,0.6142840330794668,0.6142840330794668,0.9228551159374342,0.37448763847351074
SGDClassifier,0.9388690050107373,0.6041057119662642,0.6041057119662643,0.9223920989211436,0.37887120246887207
RandomForestClassifier,0.9403006442376521,0.6030391775486362,0.6030391775486362,0.9231961399811982,7.2487406730651855
SVC,0.9400143163922692,0.5978310266569078,0.5978310266569078,0.922148002151291,72.19213724136353
AdaBoostClassifier,0.9376521116678597,0.596558467656445,0.596558467656445,0.9203617856645966,2.868997573852539
LogisticRegression,0.9385826771653544,0.5952219964811432,0.5952219964811432,0.9207562559662809,0.3112215995788574
KNeighborsClassifier,0.92705798138869,0.5926890156480357,0.5926890156480357,0.9129387679811667,0.9287459850311279
CalibratedClassifierCV,0.9377952755905512,0.5897439088317408,0.5897439088317408,0.9193077523873036,2.017894744873047
ExtraTreeClassifier,0.8877594846098783,0.5889771931862247,0.5889771931862248,0.8888182245249959,0.18407416343688965
LabelSpreading,0.8981388690050107,0.5858392744001627,0.5858392744001627,0.8945679062764925,194.76045894622803
LabelPropagation,0.8972798854688618,0.5853765256727217,0.5853765256727218,0.8940080642088283,154.76000261306763
LinearSVC,0.9358625626342162,0.5657304454862948,0.5657304454862948,0.9136208170856541,0.5957753658294678
ExtraTreesClassifier,0.9359341445955619,0.5630123344352038,0.5630123344352037,0.9131081467051044,6.799344778060913
RidgeClassifierCV,0.9329277022190408,0.5365826528837604,0.5365826528837603,0.9055514234999676,0.332211971282959
RidgeClassifier,0.9329277022190408,0.5365826528837604,0.5365826528837603,0.9055514234999676,0.1578366756439209
DummyClassifier,0.9281317108088761,0.5,0.5,0.8935369588912895,0.11037540435791016
